amplitude_1,phase_1,amplitude_2,phase_2,amplitude_3,phase_3,amplitude_4,phase_4,amplitude_5,phase_5,amplitude_6,phase_6,amplitude_8,phase_8,amplitude_9,phase_9,amplitude_10,phase_10,amplitude_11,phase_11,amplitude_12,phase_12,amplitude_13,phase_13,amplitude_14,phase_14,amplitude_15,phase_15,amplitude_16,phase_16,amplitude_17,phase_17,amplitude_18,phase_18,amplitude_19,phase_19,amplitude_20,phase_20,amplitude_22,phase_22,amplitude_23,phase_23,amplitude_24,phase_24,amplitude_25,phase_25,amplitude_27,phase_27,amplitude_28,phase_28,amplitude_29,phase_29,amplitude_30,phase_30,amplitude_31,phase_31,amplitude_32,phase_32,amplitude_33,phase_33,amplitude_34,phase_34,amplitude_35,phase_35,amplitude_36,phase_36,amplitude_37,phase_37,amplitude_38,phase_38,amplitude_39,phase_39,amplitude_41,phase_41,amplitude_42,phase_42,amplitude_43,phase_43,amplitude_44,phase_44,amplitude_45,phase_45,amplitude_46,phase_46,amplitude_47,phase_47,amplitude_48,phase_48,amplitude_49,phase_49,amplitude_50,phase_50,amplitude_51,phase_51,amplitude_52,phase_52,local_timestamp,user,position,environment,weight,capture_id,amplitude_var,amplitude_skew,amplitude_kurtosis,phase_var,phase_skew,phase_kurtosis
-1.0130811903573698,-2.210193464506602,-1.05056319795134,-2.199002074763997,-1.012167659391612,-2.195442321826017,-0.9692294688678214,-2.22032370114363,-0.9683876070517339,-2.212610769607348,-0.9854457839090861,-2.182444584568799,-0.871844081638081,-2.203546948903471,-0.8541315968765103,-2.1919496576291198,-0.8335008729546461,-2.1871794523698855,-0.7724822646493572,-2.1921575469423025,-0.725462796497568,-2.2087757539816413,-0.6963712830822457,-2.240005523886714,-0.7101766073070016,-2.2767159774792196,-0.7603999622132003,-2.3069458781788996,-0.8325490905146942,-2.3325539918057925,-0.8247161607093557,-2.333692097234441,-0.7993176260822374,-2.331562926317353,-0.8480701792654092,-2.3798200891051424,-0.9605429467582133,-2.3726880863105433,-0.9853594630165182,-2.398353780688378,-1.0896738613848826,-2.3711214364343696,-1.079390054046941,-2.395995774825801,-1.1884722024563816,-2.419197744711039,0.0,0.1530022943499315,0.0,0.1530022943499315,0.0,0.1530022943499315,0.0,0.1530022943499315,0.0,0.1530022943499315,0.0,0.1530022943499315,0.0,0.1530022943499315,0.0,0.1530022943499315,0.0,0.1530022943499315,-0.2163547120490458,-0.7304395232754968,-0.7693713636278137,-0.7420892972984047,-0.36928681317743955,-0.7230554320799523,-0.5043772150078215,-0.7676123674939891,-0.29239241680035694,-0.8939389484392244,-0.2720532012397354,-0.9298065733569979,-0.5419522531397453,-0.9303250640060423,-0.4993389044914542,-0.9400195138866807,-0.7979605531154683,-0.948395231077934,-0.8212192578023441,-0.9374818832853442,-0.7467825774287578,-0.9475546179114448,-0.7990051385307296,-0.9438485459162423,-0.8461239133484199,-0.9322285403524825,-0.8666486458384501,-0.9343312877383229,-0.9104952820441164,-0.9341901339590728,-0.9483057221213813,-0.9232612139392722,-114281951,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.13830681012049634,0.743312883733951,-0.8662980231047457,0.9126556212995999,0.3475102135752494,-1.3735977961857482
-1.0061489522236822,-2.1984692271098942,-1.0434381527363097,-2.1873056107410696,-1.0052795352819277,-2.1837850847485174,-0.9625829482987717,-2.2085371338548603,-0.9617602800797008,-2.200835992368894,-0.9787666076641682,-2.170821225205686,-0.8658099669486363,-2.191817909748776,-0.8481990353593081,-2.1802781296331637,-0.8277065800668508,-2.1755565989225922,-0.7670344560650526,-2.1804782605840267,-0.7203337067455695,-2.1970023657508952,-0.6914522445946386,-2.2280426448459396,-0.7052510037886834,-2.2645518072512947,-0.7552191238867588,-2.2945473268824936,-0.8269606452505867,-2.320028011111659,-0.8191957674677202,-2.321113101265798,-0.7937729392679723,-2.3189809638316343,-0.8422564363220015,-2.366989321421266,-0.9541541324310608,-2.3598833687960252,-0.9787073657709598,-2.3854080108864104,-1.0824504914343862,-2.3583139898923235,-1.072172083426151,-2.383058068058106,-1.1807173382022929,-2.406139862276201,0.0,0.15059417728517016,0.0,0.15059417728517016,0.0,0.15059417728517016,0.0,0.15059417728517016,0.0,0.15059417728517016,0.0,0.15059417728517016,0.0,0.15059417728517016,0.0,0.15059417728517016,0.0,0.15059417728517016,-0.21396550283030585,-0.7282417878686903,-0.7636172619106193,-0.739809199032799,-0.365777940353952,-0.7208895184072324,-0.5008437378791112,-0.7651788551880049,-0.2904183784239974,-0.8907628872104943,-0.270089597817904,-0.9264292189816536,-0.5384452340237097,-0.9269284120698649,-0.4959200570748703,-0.9365714256060658,-0.7928956863022363,-0.9449066510293923,-0.8159312365367148,-0.9340446768973021,-0.7418819400417095,-0.9440629130697225,-0.7937540601544614,-0.9403763272374517,-0.8405893496216775,-0.9288128957034372,-0.8609393595456379,-0.9309072784421099,-0.90455571172466,-0.930766836432134,-0.9420786896723043,-0.9198957516456758,-114271014,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.13648305043788672,0.7428015301347309,-0.8671849041244615,0.9015010479486585,0.3481990786551933,-1.372598346149496
-0.9992272963115472,-2.186746988214358,-1.0363238632731573,-2.175611082955026,-0.9984021265890576,-2.1721298576584673,-0.9559471581284777,-2.1967525772368104,-0.9551436719046085,-2.189063157080231,-0.9720981594615843,-2.1591997991553997,-0.859786524905663,-2.180090742755814,-0.8422771877264846,-2.1686084677330784,-0.821923007893235,-2.1639356040133566,-0.7615971157969254,-2.168800736172304,-0.7152147142021833,-2.1852306952396847,-0.6865429086714936,-2.216081460827028,-0.7003345061573533,-2.2523894721136966,-0.7500471461932753,-2.282150920415504,-0.8213810227261389,-2.307504079714707,-0.813683880702569,-2.308536517995937,-0.7882369261558676,-2.3064015324324303,-0.8364516086914728,-2.3541611660077955,-0.9477742533919583,-2.3470813515558073,-0.9720644092543224,-2.372465108299205,-1.0752364517703117,-2.345509451750467,-1.0649636248258518,-2.3701232848111022,-1.172972010894734,-2.3930849879826948,0.0,0.1481853647541581,0.0,0.1481853647541581,0.0,0.1481853647541581,0.0,0.1481853647541581,0.0,0.1481853647541581,0.0,0.1481853647541581,0.0,0.1481853647541581,0.0,0.1481853647541581,0.0,0.1481853647541581,-0.21158454741789473,-0.7260448721472866,-0.757875971645649,-0.7375295557468401,-0.36228151743633996,-0.7187238595199106,-0.49732211362625484,-0.7627450901418297,-0.28845398452890875,-0.8875867177048881,-0.2681354753981078,-0.9230519383193856,-0.5349477923899172,-0.9235319815627566,-0.4925108808242109,-0.9331236090138039,-0.7878409352727891,-0.9414183825725148,-0.8106535154236161,-0.9306078320487395,-0.7369915413459199,-0.9405716174144636,-0.7885135008921851,-0.9369045686174509,-0.8350655188818059,-0.9253977383163472,-0.8552411047805285,-0.9274837890036758,-0.8986273618705799,-0.9273440859375922,-0.9358631666400375,-0.916530877352287,-114261994,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.13467395999869355,0.7422950965075253,-0.8680669632125424,0.8904167056705883,0.34889578581868164,-1.3715871654769558
-0.9923164207118316,-2.1750270534791953,-1.0292205327615493,-2.1639187963320348,-0.9915356304124766,-2.1604769444964447,-0.9493222893220534,-2.1849703385207917,-0.9485379733598144,-2.177292570695631,-0.9654406311794343,-2.1475806095071763,-0.8537739307962602,-2.168365753640496,-0.8363662266052756,-2.15694097614649,-0.816150325298933,-2.1523167704703883,-0.756170403624193,-2.1571252779920447,-0.7101059702253307,-2.1734610490023822,-0.6816434207711312,-2.2041222829668654,-0.6954272588624644,-2.240229288547175,-0.7448841799147695,-2.269756981753692,-0.8158103839169113,-2.294982523726286,-0.8081806590415996,-2.295962675562366,-0.7827097469870463,-2.2938249604744065,-0.8306558638596191,-2.3413359576648167,-0.9414034916451421,-2.334282368958916,-0.9654307825590815,-2.3595254111157304,-1.0680319466821184,-2.332708156711656,-1.0577648825157244,-2.3571917628773416,-1.165236438436667,-2.380033463120292,0.0,0.14577591335740675,0.0,0.14577591335740675,0.0,0.14577591335740675,0.0,0.14577591335740675,0.0,0.14577591335740675,0.0,0.14577591335740675,0.0,0.14577591335740675,0.0,0.14577591335740675,0.0,0.14577591335740675,-0.20921191947932763,-0.723848836899877,-0.7521476628506722,-0.73525043026154,-0.3587976567904907,-0.7165585150202363,-0.4938124530255183,-0.7603111380273128,-0.2864993036287211,-0.8844105245249054,-0.26619090289880126,-0.9196748210330635,-0.5314600371981749,-0.920135863074859,-0.48911148305240804,-0.9296761559920496,-0.7827964499638439,-0.9379305186487348,-0.8053862510225361,-0.9271714404570455,-0.7321115279301761,-0.9370808242991445,-0.7832836167550005,-0.9334333630132808,-0.8295525844144057,-0.921983159817724,-0.8495540505940338,-0.9240609113490525,-0.8927104072126824,-0.923921974460275,-0.9296593351086145,-0.9131666817423926,-114251714,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.13287953870112598,0.7417937245607518,-0.8689440470176355,0.8794028487921116,0.34960046516117715,-1.3705640566573247
-0.985416522900791,-2.16330972846779,-1.0221283637758702,-2.1522290557074233,-0.984680243228588,-2.148826649106662,-0.9427085322212256,-2.1731907248414175,-0.9419433746578064,-2.1655245400783114,-0.9587942140720016,-2.135963959260205,-0.8477723592871258,-2.1566432480324265,-0.830466323999338,-2.1452759590051915,-0.8103887005245026,-2.1407004010352564,-0.750754478718362,-2.1454521902491575,-0.7050076255907535,-2.161693733516602,-0.6767539257959485,-2.192165422324952,-0.6905294058326661,-2.2280715729459417,-0.7397303753305123,-2.2573658337678046,-0.810248889298389,-2.2824636691578917,-0.8026862606302739,-2.2833919019812834,-0.7771915615162509,-2.2812515761833345,-0.8248693688106403,-2.3285140310574897,-0.9350420286896158,-2.32148675523502,-0.9588066742600444,-2.346589257374714,-1.0608371799308574,-2.3199104393254366,-1.0505760602264467,-2.3442638398927524,-1.157510838187881,-2.3669856288194815,0.0,0.14336587970272302,0.0,0.14336587970272302,0.0,0.14336587970272302,0.0,0.14336587970272302,0.0,0.14336587970272302,0.0,0.14336587970272302,0.0,0.14336587970272302,0.0,0.14336587970272302,0.0,0.14336587970272302,-0.2068476921666776,-0.7216537428874588,-0.746432504771247,-0.7329718853955232,-0.35532647003488227,-0.7143935445209237,-0.49031486613682557,-0.7578770645584222,-0.28455440367208146,-0.8812343923033266,-0.26425594869089025,-0.9162979568014006,-0.5279820768569737,-0.9167401472047407,-0.48572197051886684,-0.9262291584270559,-0.7777623797292353,-0.934443152200532,-0.8001295993031833,-0.9237355938378582,-0.7272420457963218,-0.9335906270738744,-0.7780645631498853,-0.9299628033756808,-0.8240507088869439,-0.9185692518267432,-0.8438783654059511,-0.9206387373950412,-0.8868050218348738,-0.9205005939743989,-0.9234673764948339,-0.9098032554868698,-114236116,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.13109978502141093,0.7412975589940187,-0.8698159988234053,0.8684597244866129,0.35031324966748995,-1.369528817751312
-0.9785277997257855,-2.1515953186288845,-1.0150475582506024,-2.140542165806923,-0.977836160876475,-2.137179275218249,-0.9361060765304642,-2.1614140432176785,-0.9353600653763221,-2.1537593719815535,-0.9521590987558023,-2.124350151304991,-0.8417819844116253,-2.1449235314561217,-0.8245776512759752,-2.133613720336457,-0.804638301173401,-2.1290867983442854,-0.7453494996313138,-2.133781777051886,-0.6999198304807016,-2.14992905516441,-0.6718745680815806,-2.1802111898643317,-0.6856410904651655,-2.21591664159824,-0.7345858822060907,-2.2449777992036912,-0.8046966988344699,-2.2699478419010948,-0.7972008431205048,-2.270824525127303,-0.7716825290004103,-2.2686817076357784,-0.8190922900152091,-2.315695720695309,-0.9286900455063184,-2.3086948444537043,-0.9521922724010407,-2.3336569849436413,-1.053652354734874,-2.307116633967239,-1.0433973611353944,-2.3313398533156326,-1.1497954269498274,-2.353941826030239,0.0,0.14095532040179728,0.0,0.14095532040179728,0.0,0.14095532040179728,0.0,0.14095532040179728,0.0,0.14095532040179728,0.0,0.14095532040179728,0.0,0.14095532040179728,0.0,0.14095532040179728,0.0,0.14095532040179728,-0.20449193811014085,-0.7194596508395411,-0.7407306658674278,-0.730693983961074,-0.35186806803086623,-0.7122290076414485,-0.48682946229434393,-0.755442935487295,-0.2826193520364552,-0.8780584056980653,-0.26233068059155834,-0.9129214353134487,-0.5245140192148514,-0.9133449245538071,-0.48234244942091026,-0.9227827082034837,-0.7727388733286623,-0.9309563761656622,-0.7948837156337861,-0.9203003838993621,-0.7223832403481532,-0.9301011190795836,-0.7728564948679553,-0.9264929826432899,-0.8185600543365517,-0.915156105949523,-0.8382142169923328,-0.9172173590434614,-0.8809113791611338,-0.9170800364378088,-0.9172874715347354,-0.906440689238494,-114230625,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.1293346960202358,0.7408067475636075,-0.8706826584628247,0.8575875727630223,0.35103427529140624,-1.3684812422679664
-0.9716504473910434,-2.139884129277764,-1.0079783174657566,-2.1288584312279255,-0.9710035785436986,-2.125535126426546,-0.9295151113031571,-2.149640600534037,-0.9287882344445161,-2.1419973730298403,-0.9455354751956829,-2.1127394884047335,-0.8358029795569071,-2.1332069093122352,-0.8187003791534113,-2.121954564044365,-0.7988992941995078,-2.1174762649099574,-0.739955624283436,-2.1221143423921527,-0.6948427344726664,-2.138167320213542,-0.6670054913861041,-2.168259896432535,-0.6807624556151289,-2.2037648106669185,-0.7294508497825112,-2.2325932006624276,-0.7991539719659918,-2.257435367707478,-0.7917245636593804,-2.258260872713192,-0.7661828081872443,-2.256115682738792,-0.813324793418578,-2.3028813609113805,-0.9223477225453314,-2.295906970503757,-0.9455877644816545,-2.3207289314977717,-1.0464776737555535,-2.2943270748175815,-1.0362289878523825,-2.318420140405657,-1.142090420950498,-2.3409023955008137,0.0,0.1385442920667943,0.0,0.1385442920667943,0.0,0.1385442920667943,0.0,0.1385442920667943,0.0,0.1385442920667943,0.0,0.1385442920667943,0.0,0.1385442920667943,0.0,0.1385442920667943,0.0,0.1385442920667943,-0.2021447294116407,-0.7172666214502504,-0.7350423138005285,-0.7284167887601836,-0.34842256087300255,-0.7100649640043412,-0.48335635009712,-0.7530088166002818,-0.28069421552196866,-0.8748826493870179,-0.2604151658581317,-0.9095453462630901,-0.5210559715517952,-0.9099502857207064,-0.47897302538526354,-0.919336897198709,-0.7677260789164779,-0.9274702834713839,-0.7896487547694376,-0.9168659023365817,-0.7175352563803559,-0.9266123936422103,-0.7676595660727671,-0.9230239937368475,-0.8130807821578694,-0.9117438137734005,-0.8325617724728999,-0.9137968681753993,-0.8750296519425336,-0.913660393786218,-0.9111198002701241,-0.9030790736262452,-114222025,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.12758426734941644,0.7403214411495032,-0.8715438622297698,0.8467866264558231,0.35176368103793876,-1.3674211190374634
-0.964784661443473,-2.1281764655774573,-1.0009208420323508,-2.117178156420757,-0.9641826907521464,-2.113894506174413,-0.9229358249278354,-2.137870703521536,-0.9222280701291747,-2.130238849700002,-0.9389235326909656,-2.101132273176714,-0.8298355174510654,-2.1214936868587966,-0.812834677688112,-2.1102987938911353,-0.7931718458946977,-2.1058691031023304,-0.7345730099518006,-2.1104501901269215,-0.6897764865281582,-2.1264088347986374,-0.6621468388792843,-2.1563118527425287,-0.6758936435851245,-2.1916163961700277,-0.7243254267653435,-2.2202123605804576,-0.7936208675993001,-2.244926572168591,-0.7862575788779267,-2.2457012722696232,-0.7606925573039055,-2.243553829209637,-0.8075670444287263,-2.2900712858417176,-0.9160152397131266,-2.2831234670724743,-0.9389933374439986,-2.307805434499169,-1.039313339083107,-2.2815420958413,-1.0290711424054502,-2.3055050382029068,-1.1343960358293481,-2.327867677756533,0.0,0.13613285130694758,0.0,0.13613285130694758,0.0,0.13613285130694758,0.0,0.13613285130694758,0.0,0.13613285130694758,0.0,0.13613285130694758,0.0,0.13613285130694758,0.0,0.13613285130694758,0.0,0.13613285130694758,-0.19980613763846952,-0.7150747153744375,-0.729367615419945,-0.7261403625805918,-0.34499005787944886,-0.7079014732314776,-0.4798956373997697,-0.7505747737139868,-0.2787790603452926,-0.8717072080629094,-0.25850947118198325,-0.9061697793435275,-0.5176080405706859,-0.9065563212957347,-0.47561380345957827,-0.9158918172771288,-0.7627241440305231,-0.9239849670286856,-0.7844248708404828,-0.9134322408256762,-0.7126982380674864,-0.923124544066886,-0.762473930288666,-0.9195559295533922,-0.8076130530909365,-0.9083324668612078,-0.826921198298504,-0.9103773566454549,-0.8691600122443036,-0.9102417579274465,-0.9049645420351448,-0.8997184992496141,-114212057,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.12584849325878822,0.7398417938239144,-0.8723994427879576,0.836057111216169,0.35250160904832345,-1.3663482320795743
-0.9579306367585247,-2.1164726325199528,-0.9938753318779409,-2.1055016456699605,-0.9573736913439318,-2.1022577177335577,-0.9163684051144497,-2.12610465873892,-0.9156797600209813,-2.1184841083023795,-0.9323234598616453,-2.089528808073703,-0.8238797701503545,-2.1097841691924715,-0.8069807162621565,-2.0986467134784825,-0.7874561218764634,-2.0942656151304697,-0.729201813258392,-2.0987896239595694,-0.6847212349815297,-2.114653904902487,-0.657298753131867,-2.1443673693536884,-0.671034796114607,-2.179471713961425,-0.7192097613139058,-2.207835601209752,-0.7880975440948567,-2.2324217806959226,-0.7808000448799101,-2.23314605112495,-0.7552119340456642,-2.2309964745555155,-0.8018192079045485,-2.277265829404555,-0.9096927763598567,-2.27034466762499,-0.9324091776595306,-2.2948868311757598,-1.0321595522224036,-2.268762030766797,-1.0219240262266933,-2.2925948835069168,-1.126712486622263,-2.3148380130786324,0.0,0.13372105472515775,0.0,0.13372105472515775,0.0,0.13372105472515775,0.0,0.13372105472515775,0.0,0.13372105472515775,0.0,0.13372105472515775,0.0,0.13372105472515775,0.0,0.13372105472515775,0.0,0.13372105472515775,-0.19747623381697227,-0.7128839932237842,-0.7237067367500358,-0.7238647681918291,-0.3415706675824053,-0.7057385949403668,-0.476447431303222,-0.7481408726713032,-0.2768739521335688,-0.8685321664281357,-0.2566136626824779,-0.9027948242417724,-0.5141703323887832,-0.9031631218552407,-0.4722648881039989,-0.9124475602844664,-0.7577332155810065,-0.9205005197265117,-0.779212217340953,-0.9099994910182326,-0.7078723289529981,-0.9196376636321225,-0.7572997403891802,-0.9160888829604614,-0.8021570272091288,-0.9049221567455468,-0.8212926602386369,-0.9069589162759891,-0.8633026314329525,-0.90682422073566,-0.898821875442911,-0.8963590566729093,-108222009,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.12412736660331931,0.7393679629213624,-0.8732492290770537,0.8253992455041218,0.3532482046877872,-1.3652623604677887
-0.9510885675261075,-2.1047729349074364,-0.9868419862322054,-2.093829203075603,-0.9505767734673474,-2.0906250641858763,-0.9098130388807002,-2.1143427725537767,-0.9091434910208351,-2.1067334549620065,-0.9257354446346397,-2.0779293953653846,-0.8179359090264546,-2.0980786612298377,-0.801138663570662,-2.0869986262289886,-0.781752287075591,-2.0826661030238993,-0.7238421901583847,-2.0871329474212823,-0.6796771275288496,-2.1029028363372975,-0.6524613761049174,-2.132426756652783,-0.6661860543694471,-2.167331079711403,-0.7141040010304933,-2.1954632445979914,-0.782584159255894,-2.219921318500888,-0.775352117230683,-2.2205955363850034,-0.7497410955646331,-2.218443946053332,-0.7960814481440869,-2.264465325279688,-0.9033805112666919,-2.2575709053836257,-0.9258354709159166,-2.28197345850041,-1.0250165140788496,-2.255987213065313,-1.0147878401381445,-2.2796900128557507,-1.1190399877465773,-2.301813741483108,0.0,0.13130895891459546,0.0,0.13130895891459546,0.0,0.13130895891459546,0.0,0.13130895891459546,0.0,0.13130895891459546,0.0,0.13130895891459546,0.0,0.13130895891459546,0.0,0.13130895891459546,0.0,0.13130895891459546,-0.19515508842627044,-0.7106945155629119,-0.718059842977066,-0.7215900683412574,-0.33816449771861623,-0.7035763887404384,-0.473011838145519,-0.7457071793374446,-0.2749789559183797,-0.8653576091896042,-0.2547278059009586,-0.8994205706331327,-0.5107429525292548,-0.8997707779560299,-0.46892638318277174,-0.9090042180420776,-0.7527534398394322,-0.9170170344259894,-0.7740109471170469,-0.9065677445355595,-0.7030576719383136,-0.9161518455839975,-0.7521371485854641,-0.9126229467902911,-0.796712863907148,-0.9015129749230656,-0.815676323368991,-0.9035416388513725,-0.8574576801634369,-0.9034078740456093,-0.8926919783721889,-0.8930008364195637,-108209940,giovani,unknown,unknown,1.0,55eddff2-110c-4233-8d8f-b9c90cc26247,0.12242087885044367,0.7389001091103611,-0.8740930462159193,0.8148132405820099,0.35400361663633156,-1.364163278188798
