mean,std,max,min,energy,skewness,kurtosis,entropy,zero_crossing_rate,fft_peak_freq,spectral_centroid,spectral_spread,label,environment,position
14.479114079634446,6.840278597319977,23.169758536914124,-1.701683865441113,16155.3518166614,-1.1200772584375207,0.150717825477793,1.9626319356115942,0.07936507936507936,0.0,0.07210217355990703,0.11980401180943125,neutral,neutral,neutral
15.354087477678975,6.927283552295894,23.258341710520106,-2.0455186877248024,17875.32136022603,-1.4063128279853931,0.621705599034224,1.7973639224947824,0.047619047619047616,0.0,0.06775833323653677,0.11613906253068135,neutral,neutral,neutral
15.316414050428083,6.997498950166977,23.957486300081385,-1.906101354215999,17864.124448069542,-1.331839975315376,0.4772410346120415,1.8141784156566225,0.047619047619047616,0.0,0.07108729366844702,0.11944227926150981,neutral,neutral,neutral
15.770674720733801,7.128863338152848,24.202356265461205,-2.0464972583975896,18870.69703939888,-1.4031540817420054,0.6010439763822566,1.7740131820777865,0.047619047619047616,0.0,0.06923601238788041,0.1176723460356827,neutral,neutral,neutral
14.970116199329324,6.763375185969082,23.034010883780304,-1.953339727069017,17000.400244439086,-1.403709728503088,0.6085009562479415,1.7812820256328072,0.047619047619047616,0.0,0.06903835746772516,0.11752921332673744,neutral,neutral,neutral
14.707875260296522,6.650222821545041,22.478239726238105,-1.9684616233497576,16414.464669664376,-1.3924204410552061,0.603632077985186,1.8186530122853082,0.047619047619047616,0.0,0.06765305444373705,0.1160582389410353,neutral,neutral,neutral
14.840752541506028,6.761945073396466,23.20225640192904,-1.8825346562569292,16756.22574195244,-1.3494491233001742,0.5093205541631738,1.8078025105382898,0.047619047619047616,0.0,0.07046277496195619,0.1189430626698643,neutral,neutral,neutral
14.820983470908297,6.783997953155726,23.335136201172613,-1.852666241692408,16738.103294221564,-1.3221950787963361,0.46666770696324544,1.8149723974003442,0.047619047619047616,0.0,0.07093540346548059,0.11937597618698513,neutral,neutral,neutral
15.202299064941906,7.183982901024214,24.17093773041066,-1.8062429207714623,17811.328952474934,-1.1320260749488353,0.15470468781426883,1.9731931253807806,0.07936507936507936,0.0,0.07269603034930885,0.12034233542069067,neutral,neutral,neutral
14.55503886114873,6.579714387696879,22.560757960815536,-1.8794826420478215,16073.933253412553,-1.3956042060970186,0.5993042698278077,1.7731623759996125,0.047619047619047616,0.0,0.0694051672030223,0.11795049137564695,neutral,neutral,neutral
15.347848727872398,6.953956222595392,23.826170980442757,-1.9775087677477625,17886.579966323945,-1.3890285511009957,0.5815011456562416,1.7731623761476423,0.047619047619047616,0.0,0.06987005999538824,0.11834907950295404,neutral,neutral,neutral
14.66916597938883,6.7338823552734945,23.165779000728826,-1.8133436900988422,16413.36493264791,-1.2986505641662132,0.42417485489933826,1.8500637803979942,0.047619047619047616,0.0,0.07135131779202274,0.11971938606801391,neutral,neutral,neutral
14.76635448504883,7.142149451928106,23.950095335093824,-1.6891767070579355,16950.497985023318,-0.9977665409715569,-0.045445166260519976,1.9958059795244298,0.1111111111111111,0.0,0.07347631140288075,0.12044932633700926,neutral,neutral,neutral
14.830161064875515,6.702318160286932,22.952087579110778,-1.9030729763419514,16685.848993707285,-1.3971017590418513,0.5949511335521906,1.7638242472808743,0.047619047619047616,0.0,0.06928059285345609,0.11784817031972314,neutral,neutral,neutral
14.90300045295733,6.757236032098915,22.466627630248247,-2.025601299590643,16868.85866154356,-1.3659009438147105,0.5754883476479309,1.8779701076801347,0.047619047619047616,0.0,0.06701351937975944,0.11510861256985142,neutral,neutral,neutral
15.146616176300276,6.885929514356884,23.616733959638584,-1.9035259009731877,17440.668432737704,-1.362806713744404,0.5282089511134465,1.773162376116871,0.047619047619047616,0.0,0.0703274886822066,0.1188374562066121,neutral,neutral,neutral
15.022433656743582,6.798229183975967,22.84579679068543,-1.9941786422475416,17129.03427957487,-1.3864390695220565,0.5887626772822805,1.840739295589157,0.047619047619047616,0.0,0.06783197281970768,0.11614120544633275,neutral,neutral,neutral
14.933392292418768,6.914993164111577,22.10525272409292,-2.0957524213022123,17061.87015659588,-1.2285668594747405,0.362015855190049,1.9030685133184706,0.1111111111111111,0.0,0.06492762719555156,0.11257310403716447,neutral,neutral,neutral
15.190561120888471,7.31337529153712,24.603001476450686,-1.7478473872708102,17907.03213530579,-1.0223944013819293,-0.006795126286900377,1.9922259191396214,0.1111111111111111,0.0,0.07392349967675908,0.12091027445478324,neutral,neutral,neutral
