type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,365586,b2:1f:e7:2b:79:66,-34,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821895562,0,83,0,128,1,"[83,-80,4,0,-5,12,-4,10,-4,8,-4,6,-4,5,-4,3,-4,2,-4,1,-5,0,-5,0,-6,-1,-6,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-6,-1,-6,-1,-6,-1,-5,-1,-5,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-1,2,0,1,0,1,1,0,2,-1,4,-1,5,-2,6,-3,7,-5,8,-6,10,-6,11,-7,12,-8,13,-8,14,-9,15,-9,15,-9,16,-9,17,-8,17,-8,18,-7,18,-7,18,-7,18,-6,17,-6,17]"
CSI_DATA,365588,b2:1f:e7:2b:79:66,-34,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821900789,0,83,0,128,1,"[83,-80,4,0,-10,8,-9,7,-7,5,-6,4,-6,2,-5,1,-5,0,-4,-1,-4,-2,-4,-3,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-4,-4,-3,-4,-3,-4,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,2,-1,2,-2,3,-4,3,-5,4,-6,5,-8,5,-10,5,-11,6,-12,7,-13,7,-14,8,-15,8,-16,9,-16,10,-16,11,-16,11,-15,11,-15,12,-15,12,-14,12,-14,11,-13,11]"
CSI_DATA,365590,b2:1f:e7:2b:79:66,-38,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821908097,0,83,0,128,1,"[83,-80,4,0,-20,-20,-17,-18,-14,-16,-11,-13,-8,-11,-5,-9,-2,-9,1,-9,3,-9,5,-9,7,-8,8,-8,10,-9,11,-10,11,-10,11,-10,11,-10,11,-10,10,-10,9,-10,8,-10,7,-9,6,-9,5,-8,5,-7,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,6,-3,5,-4,3,-6,1,-7,-1,-9,-4,-10,-7,-12,-10,-13,-14,-14,-17,-16,-21,-17,-24,-18,-26,-19,-29,-21,-31,-22,-32,-24,-34,-25,-34,-27,-35,-28,-34,-29,-34,-29,-33,-29,-33,-30,-32,-30,-30,-29,-28]"
CSI_DATA,365592,b2:1f:e7:2b:79:66,-35,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821918141,0,83,0,128,1,"[83,-80,4,0,21,2,18,2,14,3,11,3,9,3,7,3,4,4,2,5,0,6,-1,7,-2,8,-3,9,-3,10,-4,11,-4,12,-4,11,-3,11,-3,11,-3,11,-2,10,-1,10,-1,9,-1,8,-1,7,-1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-2,-5,-1,-5,1,-5,2,-4,4,-3,7,-2,9,0,11,1,14,3,16,4,18,6,20,7,22,9,24,9,26,10,28,10,29,10,31,10,32,9,32,8,33,7,33,7,33,6,32,6,31,5,30,5]"
CSI_DATA,365594,b2:1f:e7:2b:79:66,-34,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821928183,0,83,0,128,1,"[83,-80,4,0,1,-12,1,-10,1,-8,1,-6,2,-5,2,-3,2,-2,2,-2,3,-1,4,0,4,0,5,1,5,1,6,1,6,1,6,2,6,1,6,1,5,1,5,1,5,1,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,0,-3,0,-3,-1,-2,-2,-2,-3,-1,-5,-1,-6,0,-7,1,-8,2,-10,2,-11,3,-12,4,-13,4,-14,5,-15,5,-16,5,-17,4,-18,4,-18,4,-18,3,-18,3,-19,3,-19,3,-18,2,-17,2,-17]"
CSI_DATA,365596,b2:1f:e7:2b:79:66,-34,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821938429,0,83,0,128,1,"[83,-80,4,0,2,10,2,9,1,7,0,5,0,4,-1,3,-2,2,-3,2,-4,1,-4,1,-5,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,-7,0,-7,0,-7,0,-6,0,-6,0,-5,0,-5,0,-4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,-2,1,-1,1,0,2,2,2,3,2,4,2,6,2,7,1,9,1,11,1,12,1,13,1,14,1,15,1,16,2,17,2,17,2,18,3,18,3,18,4,17,4,17,4,17,4,16,4,16]"
CSI_DATA,365598,b2:1f:e7:2b:79:66,-34,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821948155,0,83,0,128,1,"[83,-80,4,0,-6,-10,-5,-9,-4,-8,-3,-7,-2,-5,-1,-4,0,-4,1,-3,2,-3,3,-3,4,-2,5,-2,5,-2,6,-2,6,-2,6,-2,6,-2,6,-2,6,-2,5,-2,5,-2,4,-2,4,-2,4,-2,3,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,1,-2,1,-2,0,-2,-1,-3,-2,-3,-4,-3,-5,-4,-6,-4,-8,-4,-10,-4,-11,-4,-12,-4,-14,-4,-15,-4,-16,-5,-17,-6,-17,-6,-18,-7,-18,-7,-18,-7,-18,-8,-18,-8,-17,-8,-17,-8,-16,-8,-15]"
CSI_DATA,365600,b2:1f:e7:2b:79:66,-34,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821958403,0,83,0,128,1,"[83,-80,4,0,9,5,8,5,6,4,5,4,3,3,2,2,1,2,-1,3,-2,3,-3,3,-4,3,-4,3,-5,3,-5,4,-6,4,-6,4,-6,4,-6,4,-5,4,-5,3,-5,3,-5,3,-4,3,-4,2,-3,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-3,0,-2,0,-2,1,-1,2,0,3,1,4,2,5,3,6,4,7,5,8,6,9,7,9,8,10,9,11,10,12,10,13,11,13,11,14,11,14,11,15,10,15,10,15,10,15,9,14,9,14,8]"
CSI_DATA,365602,b2:1f:e7:2b:79:66,-34,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821968650,0,83,0,128,1,"[83,-80,4,0,-11,-6,-9,-5,-7,-5,-6,-4,-5,-3,-3,-3,-2,-3,0,-4,1,-4,2,-4,2,-4,3,-4,3,-5,4,-5,4,-5,4,-5,4,-5,4,-5,4,-5,4,-5,3,-5,3,-4,3,-4,3,-4,2,-3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,1,-2,1,-2,0,-3,-1,-4,-2,-5,-3,-6,-4,-7,-5,-8,-6,-9,-7,-10,-8,-10,-9,-11,-10,-12,-11,-13,-11,-14,-11,-15,-11,-15,-11,-16,-11,-16,-11,-16,-10,-16,-10,-16,-10,-15,-9,-15,-9]"
CSI_DATA,365604,b2:1f:e7:2b:79:66,-35,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,1821981647,0,83,0,128,1,"[83,-80,4,0,-12,0,-11,-1,-9,-1,-7,-1,-6,-1,-4,-2,-3,-2,-2,-3,-1,-3,0,-4,0,-5,1,-5,1,-6,2,-6,2,-6,2,-6,2,-6,2,-6,2,-6,2,-6,2,-6,1,-5,1,-5,1,-5,1,-4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,1,-2,1,-3,1,-4,0,-5,0,-7,0,-8,-1,-9,-1,-11,-2,-12,-2,-13,-3,-14,-3,-15,-3,-16,-4,-17,-3,-17,-3,-18,-3,-18,-2,-18,-2,-18,-2,-18,-1,-18,-1,-17,-1,-16,-1]"
