type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,user,position,environment
CSI_DATA,900232,b2:1f:e7:2b:79:66,-43,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108190677,0,83,0,128,1,"[83,-80,4,0,-35,29,-34,30,-33,30,-31,29,-30,28,-29,26,-27,24,-26,21,-25,17,-24,14,-23,10,-23,6,-22,1,-21,-3,-20,-8,-19,-11,-18,-15,-16,-18,-15,-20,-14,-22,-12,-23,-11,-23,-9,-23,-8,-23,-7,-23,-2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-6,7,-7,4,-7,1,-8,-2,-8,-5,-8,-9,-8,-12,-8,-14,-8,-17,-9,-19,-9,-20,-9,-21,-10,-21,-11,-20,-13,-18,-15,-16,-16,-14,-18,-11,-21,-7,-23,-4,-25,1,-27,5,-29,10,-31,15,-33,19,-34,22]",giovani,unknown,unknown
CSI_DATA,900234,b2:1f:e7:2b:79:66,-39,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108182442,0,83,0,128,1,"[83,-80,4,0,-15,-10,-15,-9,-15,-9,-14,-8,-14,-8,-13,-8,-12,-7,-11,-7,-9,-7,-8,-7,-7,-7,-5,-8,-3,-8,-2,-8,0,-8,2,-8,3,-8,4,-8,5,-8,6,-8,6,-7,7,-7,7,-6,7,-6,7,-6,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-2,-3,-3,-2,-3,0,-3,1,-4,2,-4,3,-4,4,-4,5,-4,6,-5,6,-5,6,-5,6,-6,6,-6,5,-6,5,-7,3,-7,2,-8,1,-8,-1,-8,-3,-9,-5,-9,-7,-9,-9,-10,-10,-10,-12,-10]",giovani,unknown,unknown
CSI_DATA,900236,b2:1f:e7:2b:79:66,-39,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108175289,0,83,0,128,1,"[83,-80,4,0,-7,-16,-7,-16,-7,-15,-7,-15,-7,-14,-6,-13,-6,-13,-5,-12,-4,-11,-3,-10,-2,-10,0,-9,1,-8,3,-8,4,-7,5,-6,6,-5,7,-5,8,-4,9,-3,9,-3,9,-2,9,-2,8,-1,8,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-4,-1,-4,0,-3,1,-3,2,-2,3,-1,4,-1,5,0,6,0,7,0,7,1,8,0,8,0,8,-1,8,-1,7,-2,7,-3,6,-5,5,-6,4,-7,3,-8,1,-10,0,-11,-1,-12,-2,-14,-3,-15]",giovani,unknown,unknown
CSI_DATA,900238,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108168302,0,83,0,128,1,"[83,-80,4,0,25,-33,24,-34,23,-34,22,-33,21,-31,20,-29,19,-27,18,-24,17,-21,17,-18,18,-14,18,-10,18,-6,18,-2,18,2,18,5,18,9,17,11,16,14,16,15,15,17,13,18,12,18,11,18,10,18,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,4,-8,5,-6,5,-3,6,0,7,3,7,6,8,9,8,11,9,13,9,15,10,16,10,17,11,16,12,15,13,14,14,12,16,9,17,6,18,3,20,-1,21,-6,22,-10,23,-15,24,-19,25,-23,26,-27]",giovani,unknown,unknown
CSI_DATA,900240,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108161623,0,83,0,128,1,"[83,-80,4,0,-34,-25,-34,-25,-34,-24,-33,-22,-32,-21,-30,-20,-27,-20,-25,-19,-21,-19,-18,-19,-14,-19,-10,-19,-6,-19,-2,-19,2,-19,6,-19,9,-18,11,-18,14,-17,16,-17,17,-16,18,-14,18,-13,18,-12,18,-11,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,-8,-5,-6,-6,-3,-6,0,-7,3,-8,6,-9,9,-9,11,-10,13,-10,15,-11,16,-11,17,-12,16,-12,15,-13,14,-14,12,-16,9,-17,6,-18,2,-19,-2,-21,-6,-22,-10,-23,-15,-24,-19,-25,-24,-26,-27,-26]",giovani,unknown,unknown
CSI_DATA,900242,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108146786,0,83,0,128,1,"[83,-80,4,0,-16,37,-16,38,-15,37,-14,36,-13,34,-13,32,-12,30,-12,27,-13,24,-14,21,-15,17,-16,13,-17,9,-18,5,-19,1,-20,-2,-20,-5,-20,-8,-20,-10,-20,-12,-19,-14,-18,-15,-17,-15,-16,-16,-15,-16,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-3,8,-4,6,-6,4,-7,1,-9,-2,-10,-4,-11,-7,-12,-9,-14,-11,-15,-12,-15,-13,-16,-13,-17,-13,-17,-12,-18,-10,-19,-8,-19,-5,-19,-2,-19,2,-20,6,-20,10,-20,15,-20,20,-19,24,-19,28,-18,32]",giovani,unknown,unknown
CSI_DATA,900244,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108138957,0,83,0,128,1,"[83,-80,4,0,-24,-40,-25,-40,-25,-39,-24,-37,-23,-35,-22,-34,-20,-32,-18,-30,-15,-28,-11,-27,-7,-25,-3,-24,1,-22,6,-21,10,-19,14,-17,17,-15,19,-13,21,-12,23,-10,24,-9,24,-7,24,-6,23,-5,23,-4,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-6,-8,-4,-8,0,-8,3,-7,7,-7,10,-6,13,-5,15,-5,18,-4,20,-4,22,-4,22,-5,22,-5,22,-7,20,-9,19,-11,17,-13,14,-16,11,-19,7,-22,3,-25,-1,-28,-5,-31,-10,-34,-14,-37,-17,-39]",giovani,unknown,unknown
CSI_DATA,900246,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108137723,0,83,0,128,1,"[83,-80,4,0,23,-34,22,-34,21,-34,20,-33,19,-31,18,-30,18,-28,17,-25,17,-22,17,-19,17,-15,17,-11,17,-7,18,-3,18,0,18,4,18,7,18,10,17,12,17,14,16,15,15,16,14,16,12,17,11,16,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,4,-8,5,-6,6,-3,6,0,7,3,7,6,7,9,8,11,8,13,9,15,9,16,10,16,10,16,12,15,13,14,14,11,15,9,17,6,18,2,19,-1,21,-6,22,-10,23,-15,24,-19,25,-23,25,-27]",giovani,unknown,unknown
CSI_DATA,900248,b2:1f:e7:2b:79:66,-43,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108123348,0,83,0,128,1,"[83,-80,4,0,-32,26,-31,26,-30,26,-29,26,-27,24,-26,23,-25,21,-23,19,-22,15,-21,12,-21,8,-20,5,-19,1,-19,-3,-18,-7,-17,-10,-16,-13,-14,-16,-13,-18,-12,-20,-11,-21,-10,-21,-8,-21,-7,-21,-6,-20,-2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-6,6,-6,3,-7,1,-7,-2,-7,-5,-7,-8,-7,-11,-6,-13,-7,-15,-7,-17,-7,-18,-7,-19,-8,-19,-9,-18,-11,-17,-12,-15,-14,-13,-16,-10,-18,-7,-20,-4,-22,0,-24,4,-26,9,-28,12,-30,16,-31,19]",giovani,unknown,unknown
CSI_DATA,900250,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108121934,0,83,0,128,1,"[83,-80,4,0,10,44,11,44,12,42,12,41,11,39,11,37,9,35,7,32,5,30,2,27,-2,25,-5,22,-9,19,-12,17,-16,14,-19,11,-21,9,-23,6,-24,4,-26,2,-26,0,-26,-1,-25,-2,-24,-3,-24,-4,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,0,8,-3,6,-6,5,-9,3,-12,2,-15,0,-17,-1,-19,-2,-21,-3,-22,-3,-23,-3,-23,-2,-23,-1,-22,1,-22,4,-20,7,-18,10,-16,13,-13,17,-11,21,-8,26,-5,30,-1,34,2,37,5,40]",giovani,unknown,unknown
