mean,std,max,min,energy,skewness,kurtosis,entropy,zero_crossing_rate,fft_peak_freq,spectral_centroid,spectral_spread
0.4295709111339851,0.40037133170615236,0.38348070958620106,-0.37221792877696247,0.42606518847827324,-0.1896158935064337,0.182929754002768,-0.21778463704107315,-0.07748497250557795,-0.0,0.18468870128120501,0.17628095656816983
0.06253655852605688,0.18398007805982133,0.23134428671110188,0.15083601927588844,0.08219443268670915,0.5045761992094342,-0.4811956030987683,0.39147730391743063,0.18785840809646015,-0.0,0.3374327606151498,0.30109869327793465
-0.1251776488615684,-0.15179142993680045,-0.17671609937290197,0.18310839465358653,-0.1330464752973519,-0.15435202584784666,0.0345762216284249,-0.2008427758886796,-0.5212095241460495,-0.0,0.49421907103798157,0.5454920234189448
-0.17407369563612435,-0.2396071875146651,-0.009045606846819307,-0.3648442584197173,-0.18346872691024396,-0.08261684187187192,0.40140220522933034,0.1449459810001043,0.6174524093722891,-0.0,0.30714861741160654,0.28440543801117174
-0.04430527362743478,-0.07703746935193542,0.1274352101091841,-0.33007177968456797,-0.04758381879079256,-0.01089697326582765,0.2227680287390418,0.7395269373346012,-0.50929829659513,-0.0,-0.047043466004794476,-0.0800541467236304
0.021607631612191123,-0.050013303480391215,0.47094671230043617,0.6469502138887758,0.02200402970280761,-0.49587230226958584,0.16450035419833248,0.24741774417432766,0.1440283545898326,-0.0,0.031071595835592783,-0.0183673491596156
-0.2544733155624835,-0.22386789704098548,0.6784853463302928,-0.06024522250329242,-0.24498464661787042,0.3969104921850192,0.14000128027696962,-0.35876653456659435,-0.15899821757100444,0.0,0.04962587396059276,-0.1659586788192008
0.06602501050092524,0.10166745848221326,-0.2507515481006276,0.3554708660663234,0.3104692381421801,0.4723994017773748,0.6356014032955359,0.03222112182456473,-0.019375211220734552,1.1102230246251565e-16,0.2002603387515246,-0.17609446639658474
-0.05213342930812634,-0.008741410288960968,-0.0705728869083171,-0.10119123250345062,0.016297964337938807,-0.20334946070506496,-0.21730255060876835,0.0010839037264248276,0.003382695564414886,-1.1102230246251565e-16,0.6803963862634433,-0.6558937491423382
-0.33505165611419124,-0.5073827777288562,0.0421674786840113,-0.062303995746237975,0.7707488302376625,-0.031010322582108264,-0.1513029373470401,-0.009987545224659965,0.001384702623013885,1.1102230246251565e-16,-0.058868993172074474,0.056285125632789
