PC,explained_variance
0,0.4598965138676598
1,0.26649391753587603
2,0.15531248664114006
3,0.07095398989564919
4,0.03567303420634264
5,0.00602653600443294
6,0.004818291420036572
7,0.00037149442447205645
8,0.00029709715642526333
9,0.00012859546021174663
